WAFER_ID,STAGE,MRR
-4224160584,B,75.86415
-4224160580,B,71.907
-2697400536,B,69.83865
-4224160600,B,61.18935
-4224160592,B,60.39825
-2697400532,B,64.45425
-875170052,B,65.91045
-873170256,B,58.8924
-4224160702,B,65.30385
-4224160694,B,65.64675
-4224160690,B,66.4284
-4113511818,B,64.29195
-4113511814,B,67.5714
-4113511808,B,69.23745
-4113511792,B,66.486
-875170112,B,63.42225
-873170342,B,63.5892
-873170272,B,64.89795
-873170248,B,63.10665
-873170244,B,68.45265
-4226160424,B,64.1814
-4113511826,B,64.34145
-4113511822,B,69.0819
-4113511804,B,72.5376
-4113511796,B,71.1123
-4113511784,B,74.37165
-4113511764,B,60.0153
-4113511756,B,78.70095
-4113511752,B,64.08075
-4113511748,B,71.89545
-4111511824,B,63.04155
-4111511820,B,65.45685
-873170366,B,59.37135
-873170354,B,65.79675
-873170318,B,66.2457
-4228160600,B,72.4548
-4228160596,B,71.0739
-4228160580,B,73.3764
-4226160416,B,72.28245
-4226160408,B,75.1281
-4226160404,B,71.91825
-4226160396,B,77.4597
-4224160662,B,69.36975
-4224160650,B,65.64225
-4113511800,B,67.19175
-873170362,B,69.61065
-873170306,B,70.986
-4228160690,B,68.48055
-4228160608,B,72.48105
-879170258,B,77.03805
-879170100,B,72.7671
-4230160594,B,70.0533
-4228160702,B,69.62205
-4228160694,B,69.89805
-4228160686,B,70.2468
-4228160670,B,69.83175
-4228160642,B,68.7276
-879170108,B,73.7268
-879170072,B,72.5385
2717292842,B,72.813
2717292858,B,68.23875
2717292818,B,77.61765
2717292822,B,74.14575
-4228160698,B,74.91585
-879170080,B,70.7364
-877170358,B,71.14995
-877170268,B,72.0123
-4228160658,B,72.771
-4216160624,B,70.71435
-877170366,B,69.8028
-877170346,B,72.50895
-877170322,B,70.4697
-877170264,B,68.8746
3834719044,B,63.35175
-4228160662,B,61.59885
-4216160670,B,67.6425
-4216160646,B,64.34745
-879170084,B,65.9394
-879170076,B,58.98405
-877170314,B,65.7627
2717292802,B,63.93645
-899170148,B,59.8281
-4230160436,B,54.3072
-4222160582,B,57.58005
-4216160690,B,60.7173
2703293046,B,60.10935
2703293060,B,59.27085
2703293068,B,59.48385
2703293076,B,60.3726
3840719298,B,56.50905
-4230160416,B,81.83385
-4222160606,B,59.78145
-4222160428,B,79.52355
-4220160682,B,69.39165
-4220160678,B,74.18535
-899170132,B,69.28185
-899170124,B,68.8011
2703293072,B,63.99765
3838719142,B,70.93395
-4222160578,B,85.6827
-4222160432,B,78.6462
-4220160604,B,82.51935
-4141512112,B,83.1564
-2579249780,B,87.85365
-4111511812,B,84.74295
-2579249818,B,89.48385
-4220160686,B,82.76775
-897170406,B,80.2437
4203773450,B,81.3153
4203773636,B,78.0141
4203773680,B,81.04815
-4220160702,B,84.64815
-4210160444,B,81.4941
-903170172,B,82.75185
-903170140,B,81.90435
-897170374,B,84.3513
4199773466,B,84.6372
4199773668,B,82.8237
4201773430,B,80.31345
4201773444,B,85.90215
-4230160424,B,75.97095
-4230160408,B,83.0358
-903170202,B,82.5801
-903170176,B,80.6286
4203773652,B,79.9785
-4216160640,B,81.0711
-4141512120,B,73.27635
-4141512104,B,78.8967
-4111512058,B,81.19215
-2133929492,B,80.89845
-903170156,B,84.30255
4199773636,B,82.80465
4199773640,B,78.8424
4201773440,B,80.4498
4213773710,B,79.5681
4213773730,B,81.5106
-2135929464,B,82.5075
-2135929448,B,87.30135
-903170136,B,83.79975
4199773446,B,89.40495
4199773644,B,86.90985
4201773386,B,88.52175
4211773678,B,83.4441
4213773698,B,75.6669
4213773706,B,85.52775
4213773714,B,76.47015
4213773726,B,85.22895
4213773734,B,77.8581
-4111512046,B,84.4365
-2135929432,B,83.61255
-2135929428,B,77.97375
-2129929706,B,80.031
-2129929504,B,81.63585
4199773632,B,86.10045
4201773382,B,90.38175
-3784722754,B,82.69755
-903170160,B,80.28585
-903170132,B,77.1237
4209773414,B,75.42495
4209773422,B,78.8181
4209773426,B,77.81535
4209773430,B,70.6911
4209773456,B,75.70455
4209773460,B,75.4239
4211773472,B,72.12105
4211773476,B,72.41775
4211773480,B,73.94085
4211773500,B,80.24115
4211773666,B,75.2127
-4222160590,B,72.45435
-2129929722,B,70.425
4209773402,B,71.3148
4209773406,B,73.42725
4207773688,B,72.3054
-4220160646,B,73.74045
-4141512092,B,76.8204
-4139512004,B,75.3372
-4139511842,B,70.6215
-2701400552,B,71.81595
-2699400364,B,75.6822
4221773730,B,75.6324
4221773754,B,74.8368
-3784722774,B,76.60005
4221773746,B,72.2598
-4141512096,B,76.24665
-4139512020,B,73.5135
-4139511854,B,74.034
-4139511850,B,73.5351
-4139511834,B,72.4614
-4139511830,B,74.913
-4139511826,B,77.088
4219773682,B,74.4918
-2699400356,B,76.6998
-2565250046,B,70.1796
-2565250002,B,72.56745
-2131929452,B,80.4066
-2131929468,B,71.2935
4217773676,B,69.11955
4219773448,B,72.98565
4219773488,B,79.87845
4219773492,B,67.9578
4219773500,B,71.85495
-2565250042,B,68.8815
-2565249994,B,71.7765
-2565249986,B,72.36045
4217773706,B,67.5171
-4027511790,B,67.27005
-4027511786,B,65.5995
-4027511782,B,67.593
-4027511568,B,69.9153
4215773674,B,64.34325
4217773742,B,63.0513
4217773754,B,62.9937
-4027511564,B,67.7826
-4027511560,B,70.7853
4217773702,B,60.9621
-2141929716,B,61.07565
-2131929428,B,62.51955
3844719354,B,59.8005
2707293054,B,67.09305
-2143929718,B,65.418
-2141929522,B,62.2413
-2141929510,B,64.54035
-4027511750,B,62.11335
-4025511552,B,57.1299
-4025511536,B,57.73245
-2143929764,B,65.5896
4215773456,B,63.59325
