WAFER_ID,TIME,STAGE,MRR
-4113511818,481634409.7,A,65.0223
-4113511780,481634613.3,A,61.04565
-4224160600,481637828.3,A,61.6548
-4224160592,481638013.3,A,56.1786
-4113511814,481645403,A,58.27905
-873170248,481656757.7,A,55.66965
-4113511796,481662576.3,A,59.1954
-873170272,481662779.7,A,55.08765
-4224160694,481663515.7,A,57.86655
-4224160686,481663713.7,A,57.2523
-4224160690,481664113.7,A,57.8484
-873170244,481665646.7,A,56.64495
-873170342,481665845.3,A,54.5025
-4113511792,481671145,A,59.8572
-4113511808,481677313.7,A,53.64735
-4113511752,481680230,A,56.95725
-4113511748,481680628,A,56.09865
-4111511820,481680826,A,54.59835
-4113511756,481681023,A,55.60095
-4224160646,481692872.7,A,62.62545
-4113511760,481693276.3,A,61.41315
-873170354,481693483.7,A,60.59415
-873170366,481696300.3,A,59.68785
-4113511826,481696803.7,A,62.3022
-873170346,481697003.7,A,63.01095
-4111511824,481697203.3,A,64.21455
-873170358,481698622.7,A,63.26625
-873170318,481698806.3,A,64.5318
-4226160424,481698999.7,A,63.24495
-4226160404,481701118,A,60.44715
-4224160650,481701322,A,61.0698
-873170338,481709562.3,A,61.75965
-873170310,481716345,A,67.7304
-4224160662,481716938.3,A,64.35705
-4226160396,481731974,A,61.22265
-4224160654,481732164,A,60.3432
-4228160596,481732545.3,A,61.1604
-4228160600,481732741.7,A,62.05515
-4226160416,481734523.3,A,57.9618
-873170306,481734707.3,A,60.16635
-4228160580,481734905.3,A,58.3518
-879170270,481748184.3,A,60.4995
-879170266,481750001.7,A,59.4636
-873170334,481750194,A,60.5967
-4228160604,481750382,A,60.6567
3834719080,481755900.3,A,64.87095
-4228160690,481768159,A,64.521
-879170254,481768467.3,A,66.07485
-4228160702,481793143,A,67.42425
-4228160682,481793863,A,70.0665
-879170112,481794062,A,65.77155
-879170088,481794260.3,A,66.2058
-879170064,481794457,A,66.8805
-879170096,481794655,A,64.4553
-4228160678,481794851,A,66.02895
-879170100,481795047.3,A,65.36535
-879170072,481798582.3,A,71.253
2717292858,481798782.7,A,66.2304
-879170108,481799735.7,A,68.5827
-879170092,481800720.3,A,71.59845
2717292822,481803806,A,72.0921
2717292862,481803987.3,A,69.18045
2717292838,481805639,A,70.90125
-4230160598,481805836.3,A,68.8818
2717292834,481806028,A,70.43655
2717292846,481807534,A,70.34235
-4228160686,481809026.3,A,72.37185
-4228160662,481809224,A,72.79755
-4228160642,481813238.3,A,78.33675
-4228160670,481813433.3,A,74.21805
-879170104,481844990,A,72.73455
-877170268,481867055.3,A,69.24525
-879170080,481893396,A,69.8505
-877170366,481893772.7,A,69.8253
-879170068,481906066.3,A,63.34515
-4216160666,481906464,A,61.4217
2717292826,481906651.3,A,65.28465
2717292830,481906847.3,A,65.6865
-4228160658,481907439.3,A,61.94655
-877170322,481907625.3,A,65.90055
-877170264,481911987,A,60.30495
-877170362,481912185.3,A,61.5069
-4216160624,481912384.3,A,58.81275
-877170338,481914591,A,65.424
3834719044,481915686.3,A,61.56705
-877170260,481922313.3,A,57.82185
-4216160662,481925572,A,63.6816
-877170326,481925774.3,A,61.2159
-877170350,481925975,A,61.56015
-877170330,481926174.3,A,61.5486
2717292802,481926373,A,60.1968
2703293050,481926573.3,A,61.77915
-877170314,481936000,A,65.17935
-899170202,481936208.3,A,65.35665
-879170084,481936398.7,A,63.44025
-899170172,481936597,A,64.84635
-879170076,481938363.3,A,65.5623
-899170186,481938561.3,A,65.36175
-4216160670,481938760.3,A,64.90665
-877170272,481944208,A,65.0508
-899170194,481948439,A,63.4305
-899170198,481948635.7,A,63.6546
-899170164,481951586,A,58.3209
-4216160658,481951771.7,A,58.9947
-899170156,481952170,A,59.2407
-4216160650,481952369,A,59.3889
2703293054,481993221.7,A,56.79555
2703293042,481993428,A,54.82875
-2701400532,482011554.7,A,58.7895
-4216160642,482011756.3,A,56.9673
-4216160702,482011960.7,A,55.0086
-4216160694,482012162.3,A,56.9127
-4222160420,482121754,A,53.7738
-4222160428,482121956.3,A,53.6943
-4222160392,482122156,A,53.42655
-4220160674,482123177,A,58.9389
-2579249814,482128797,A,56.5359
-4222160448,482154670.3,A,65.16345
-4220160604,482154872,A,64.4562
-2579249818,482180095,A,73.0947
-2579249784,482180292,A,73.7235
-4111511816,482180486,A,73.4904
-2579249810,482180680,A,73.55835
-4208160362,482222435,A,82.58775
-897170414,482282945,A,83.55975
4203773450,482283594.3,A,79.60575
-903170198,482293626,A,68.30775
4203773692,482293808.7,A,73.9743
-897170370,482294000,A,78.9837
4203773632,482294387.7,A,78.0987
-4210160444,482312584.7,A,75.0489
4201773448,482312778.7,A,72.55245
4203773640,482312971.7,A,73.9929
-4220160702,482321106,A,68.09415
4201773438,482321289.3,A,69.9066
4199773466,482321479,A,71.29815
4201773452,482321670,A,72.3144
-903170172,482323988.7,A,69.6849
-4220160654,482324184.7,A,69.84885
-903170152,482325815,A,75.98775
-903170168,482330627,A,72.966
4201773434,482330794.7,A,71.343
4199773454,482330977,A,73.0263
4201773444,482331160.3,A,74.4414
4201773390,482331347.3,A,75.2973
-4111512042,482342313.3,A,82.56705
-903170140,482344935.3,A,78.0135
-4230160424,482345133.3,A,78.33015
-4220160694,482347092,A,79.85925
-2133929500,482347282.7,A,78.58245
-903170194,482347655.7,A,80.55015
4203773652,482347846.3,A,79.06485
-903170120,482348031.7,A,78.6405
4199773450,482349612,A,79.3182
-903170148,482349807.7,A,77.5974
-903170202,482349998,A,76.62405
4199773692,482350381.7,A,79.15485
-4230160408,482350570,A,79.8045
4199773636,482350953,A,77.16615
-2133929492,482353279,A,78.50115
-903170144,482353472,A,78.3189
4201773406,482357288,A,76.46445
-4216160640,482357475,A,78.65925
-903170160,482357664,A,76.61475
-903170132,482357856.7,A,76.81305
4199773442,482360493.3,A,78.12675
4213773664,482360688,A,79.18275
-903170156,482361072,A,80.20785
-4111512062,482361262,A,76.88835
-4111512058,482369267,A,76.6485
-4111512050,482375794.3,A,79.4853
-4141512120,482375990,A,78.4977
4213773718,482376853,A,80.65905
4213773710,482377049.3,A,80.2428
4213773734,482408797.3,A,85.83975
4213773738,482408975.7,A,81.23025
4213773698,482410699.7,A,79.4268
4213773668,482410887,A,79.20765
4213773714,482411075,A,75.2805
4213773722,482411261,A,80.1816
-2135929452,482413611.3,A,79.38405
4213773746,482415487,A,74.23665
4199773684,482415672.7,A,76.3008
4199773632,482421332.7,A,81.9171
4211773670,482421714.3,A,78.5892
-2135929472,482426012.7,A,77.1156
-2135929424,482427984.3,A,72.7296
4211773456,482428161.7,A,72.49155
-2135929432,482430111.3,A,77.40675
-2135929440,482430307.3,A,73.88445
4201773382,482430507.3,A,77.5011
-4230160428,482430691.3,A,75.34995
-2129929504,482437917.7,A,72.59925
-2135929468,482438105.7,A,74.92005
4209773422,482457611.7,A,74.08875
4211773460,482458793.7,A,77.4192
4211773444,482461924.7,A,76.689
4209773434,482463787,A,73.63515
-4220160646,482463961.7,A,76.0956
4209773410,482464150.7,A,74.9751
3844719152,482465873,A,74.1186
4209773418,482466064.3,A,72.65025
4211773476,482466255.3,A,72.0993
4211773464,482466446.3,A,74.37465
4211773448,482470172,A,72.31545
4211773694,482470360,A,72.0033
4209773398,482470548,A,72.86985
-3784722864,482480545,A,75.7092
4209773406,482495055.3,A,72.13485
-2129929698,482500682.3,A,72.6846
4207773688,482528541.3,A,70.55895
-2129929678,482538171,A,71.8215
4207773470,482548824.7,A,78.31905
4207773442,482549021.7,A,76.2573
4207773668,482549604.3,A,74.82855
4207773656,482549796.3,A,74.30625
4221773640,482552380,A,77.71905
4207773660,482552574.3,A,77.49675
-2131929478,482552765.3,A,74.5983
-3784722766,482573968,A,66.1359
-3784722774,482594949.7,A,68.8947
-4141512092,482617339,A,70.56045
-2701400544,482621033,A,69.4038
-2699400360,482621610,A,70.5174
-2699400364,482621802,A,68.90235
-4139512004,482622187,A,69.5982
-4139511842,482622380,A,69.7959
-3784722770,482622581,A,69.8193
-4141512072,482622764.3,A,70.3578
-3784722762,482622955.7,A,69.09915
4219773694,482631822.3,A,70.8924
-2131929482,482640060.3,A,71.1417
-2131929444,482640257.3,A,70.51065
-4139511862,482641202.7,A,70.04175
-2129929714,482643362.7,A,70.611
4207773458,482643555.7,A,70.0971
-4139511866,482648537.3,A,72.10635
-4139511826,482652448.3,A,66.46995
-2131929448,482656793.7,A,70.9506
-4141512096,482658568.3,A,74.30415
-4139511850,482658765.7,A,70.1346
-4139511854,482658960.3,A,71.9658
-2565249998,482675965.3,A,74.24535
-2131929490,482688336,A,72.10245
4219773452,482689722,A,72.07995
4221773698,482690114.3,A,70.5963
4219773440,482690308,A,70.70115
4219773448,482702799.3,A,70.0122
4221773722,482702998.3,A,70.76895
4221773702,482705519.3,A,70.62
-2565249990,482715574.3,A,66.61725
4217773676,482723501.3,A,74.05815
4219773496,482726733.7,A,70.06545
4219773492,482726912,A,70.1799
4217773684,482729620,A,71.42775
-2131929464,482729817,A,71.7369
4217773688,482730013,A,71.73585
4219773444,482730205.3,A,70.62765
-2565249986,482742626.7,A,72.5712
-2131929416,482773106,A,73.7868
-2131929472,482773299,A,72.18225
-4027511568,482773518.3,A,71.5143
-4027511786,482773696,A,69.8376
-2141929700,482789050,A,69.78255
-3784722786,482796510,A,69.01545
-4027511790,482797295.7,A,70.7547
-4027511798,482797477,A,70.2735
-4027511564,482798888.3,A,67.17675
-4027511782,482799073.3,A,66.6846
2705292850,482927953.7,A,65.8785
2707293030,482931922.7,A,72.54285
2707293050,482932119.7,A,69.43485
2707293076,482932312.3,A,70.3011
2707293042,482932511.7,A,68.2245
-2141929486,482953354,A,70.0587
4217773710,482959470.3,A,56.61465
-2141929506,483054959.7,A,63.6441
-2141929514,483055164.7,A,62.6505
-4025511554,483055576.3,A,65.05305
-2143929718,483055773.3,A,62.0946
-2141929518,483065678.7,A,63.01935
-2143929710,483065870.3,A,62.32305
-2143929736,483066066,A,63.6735
